Sample,sample_collection_datetime,viral_load
10.04.23.ENCOCT02.R2__NA__NA__231006_WW__00X.tsv,10/02/23,
10.04.23.ENCSEP27.R2__NA__NA__231006_WW__00X.tsv,9/27/23,
10.04.23.PLOCT01.R1__NA__NA__231006_WW__00X.tsv,10/01/23,
10.04.23.PLOCT02.R1__NA__NA__231006_WW__00X.tsv,10/02/23,
10.04.23.SBOCT01.R1__NA__NA__231006_WW__00X.tsv,10/02/23,
10.04.23.SBSEP28.R2__NA__NA__231006_WW__00X.tsv,9/28/23,
10.06.23.PLOCT03.R2__NA__NA__231006_WW__00X.tsv,10/03/23,
10.06.23.PLOCT04.R1__NA__NA__231006_WW__00X.tsv,10/04/23,
