Sample,sample_collection_datetime,viral_load
12.04.23.ENCDEC01.R2__NA__NA__231215_WW__00X.tsv,12/01/23,
12.04.23.ENCNOV29.R2__NA__NA__231215_WW__00X.tsv,11/29/23,
12.04.23.SBDEC03.R2__NA__NA__231215_WW__00X.tsv,12/03/23,
12.04.23.SBNOV30.R1__NA__NA__231215_WW__00X.tsv,11/30/23,
12.11.23.ENCDEC04.R2__NA__NA__231215_WW__00X.tsv,12/04/23,
12.11.23.ENCDEC06.R1__NA__NA__231215_WW__00X.tsv,12/06/23,
12.11.23.PLDEC03.R1__NA__NA__231215_WW__00X.tsv,12/03/23,
12.11.23.PLDEC04.R2__NA__NA__231215_WW__00X.tsv,12/04/23,
12.11.23.PLDEC05.R2__NA__NA__231215_WW__00X.tsv,12/05/23,
12.11.23.PLDEC06.R1__NA__NA__231215_WW__00X.tsv,12/06/23,
12.11.23.SBDEC07.R1__NA__NA__231215_WW__00X.tsv,12/07/23,
12.11.23.SBDEC10.R1__NA__NA__231215_WW__00X.tsv,12/10/23,
